Year,Geography,Data.Type,Homicide,Attempted.Murder,Sexual.Assault..Level.1,Assault..Level.1,Criminal.Harassment,Uttering.Threats
2006,Newfoundland and Labrador,actual_incidents,7,5,336,3097,155,1585
2007,Newfoundland and Labrador,actual_incidents,3,1,401,3455,172,1663
2008,Newfoundland and Labrador,actual_incidents,5,2,416,3415,197,1768
2009,Newfoundland and Labrador,actual_incidents,1,0,353,3520,229,1825
2010,Newfoundland and Labrador,actual_incidents,4,2,367,3406,223,1919
2011,Newfoundland and Labrador,actual_incidents,4,3,321,3577,209,1978
2012,Newfoundland and Labrador,actual_incidents,3,0,368,3665,203,2013
2013,Newfoundland and Labrador,actual_incidents,7,2,308,3328,270,1897
2014,Newfoundland and Labrador,actual_incidents,2,1,301,2960,235,1710
2006,Prince Edward Island,actual_incidents,1,2,60,728,88,383
2007,Prince Edward Island,actual_incidents,0,1,73,702,79,328
2008,Prince Edward Island,actual_incidents,2,1,77,675,99,345
2009,Prince Edward Island,actual_incidents,0,0,62,713,114,461
2010,Prince Edward Island,actual_incidents,0,0,61,666,98,400
2011,Prince Edward Island,actual_incidents,1,0,74,699,125,368
2012,Prince Edward Island,actual_incidents,0,1,73,769,110,377
2013,Prince Edward Island,actual_incidents,1,0,84,621,71,243
2014,Prince Edward Island,actual_incidents,3,1,59,556,75,253
2006,Nova Scotia,actual_incidents,16,26,792,6991,499,4270
2007,Nova Scotia,actual_incidents,13,26,696,6679,345,3706
2008,Nova Scotia,actual_incidents,12,30,678,6505,441,3925
2009,Nova Scotia,actual_incidents,15,38,677,6181,479,3648
2010,Nova Scotia,actual_incidents,21,24,662,5780,551,3467
2011,Nova Scotia,actual_incidents,22,60,686,5567,528,3075
2012,Nova Scotia,actual_incidents,17,34,659,5284,628,2742
2013,Nova Scotia,actual_incidents,13,61,640,4608,528,2543
2014,Nova Scotia,actual_incidents,6,57,610,4581,531,2737
2006,New Brunswick,actual_incidents,7,9,514,4423,507,2460
2007,New Brunswick,actual_incidents,8,5,498,4385,467,2375
2008,New Brunswick,actual_incidents,3,7,563,4698,596,2538
2009,New Brunswick,actual_incidents,12,10,564,5070,611,2573
2010,New Brunswick,actual_incidents,9,13,588,5002,662,2472
2011,New Brunswick,actual_incidents,8,16,544,4871,712,2582
2012,New Brunswick,actual_incidents,6,11,481,4786,683,2591
2013,New Brunswick,actual_incidents,7,14,455,4039,595,2158
2014,New Brunswick,actual_incidents,10,9,429,3945,556,1982
2006,Quebec,actual_incidents,93,233,4901,30545,4959,17408
2007,Quebec,actual_incidents,90,213,4088,29923,4380,17392
2008,Quebec,actual_incidents,92,153,4221,31376,4220,17179
2009,Quebec,actual_incidents,88,205,4196,31379,4338,17296
2010,Quebec,actual_incidents,84,203,4198,30764,4379,17120
2011,Quebec,actual_incidents,105,167,3725,30610,4665,16522
2012,Quebec,actual_incidents,108,179,3909,31200,5079,17331
2013,Quebec,actual_incidents,70,161,3831,30007,4831,15906
2014,Quebec,actual_incidents,70,163,3576,29384,4645,15594
2006,Ontario,actual_incidents,196,318,7004,55286,8673,20269
2007,Ontario,actual_incidents,202,284,7085,53939,8564,20852
2008,Ontario,actual_incidents,176,275,7241,53249,8711,19792
2009,Ontario,actual_incidents,178,293,6977,51251,9225,19011
2010,Ontario,actual_incidents,189,247,7544,50892,9626,18317
2011,Ontario,actual_incidents,161,223,7619,50398,9666,17290
2012,Ontario,actual_incidents,162,258,7718,48223,9728,16522
2013,Ontario,actual_incidents,168,198,7476,45707,9421,15230
2014,Ontario,actual_incidents,156,202,7348,44393,8421,14989
2006,Manitoba,actual_incidents,39,24,1248,10277,347,3951
2007,Manitoba,actual_incidents,61,41,1209,9939,257,3644
2008,Manitoba,actual_incidents,54,36,1266,10206,326,3954
2009,Manitoba,actual_incidents,57,27,1248,10978,266,4103
2010,Manitoba,actual_incidents,45,26,1405,10896,426,4282
2011,Manitoba,actual_incidents,53,33,1429,10592,334,3894
2012,Manitoba,actual_incidents,52,22,1426,11003,322,3848
2013,Manitoba,actual_incidents,51,29,1349,9849,345,3573
2014,Manitoba,actual_incidents,45,19,1394,9451,227,3269
2006,Saskatchewan,actual_incidents,42,52,1207,12236,551,3868
2007,Saskatchewan,actual_incidents,30,41,1214,12265,513,3801
2008,Saskatchewan,actual_incidents,30,32,1150,11975,569,3735
2009,Saskatchewan,actual_incidents,36,29,1152,12138,528,3849
2010,Saskatchewan,actual_incidents,34,30,1126,12390,649,3934
2011,Saskatchewan,actual_incidents,38,29,1122,11995,622,3639
2012,Saskatchewan,actual_incidents,29,27,1017,11533,531,3199
